output,X1,X2,X3,X4,X5,beta,offset
112.768,16000,4.0,0.2286,71.3,0.00400603,6.64174609698e-08,138.93805920410153
117.137,4000,5.4,0.1524,39.6,0.00485029,-9.99999990294e-08,124.81028125238419
132.184,8000,4.8,0.0254,55.5,0.000873218,9.99138324492e-08,137.2437755908966
135.328,4000,4.8,0.0254,31.7,0.000930789,1e-07,
135.54,400,8.9,0.1016,39.6,0.0124596,1e-07,
118.816,5000,22.2,0.0254,39.6,0.0229028,1e-07,140.72639448976517
131.456,2000,0.0,0.0508,55.5,0.00076193,1e-07,
127.229,4000,3.3,0.1016,55.5,0.002211,9.99371821529e-08,131.3580698647499
126.001,1000,17.4,0.0254,55.5,0.0165706,-1e-07,
115.893,10000,0.0,0.1016,31.7,0.00150092,-1e-07,
117.504,2000,12.6,0.1524,71.3,0.0483159,-1e-07,
115.691,5000,5.4,0.1524,31.7,0.00525474,-1e-07,
128.119,1250,4.0,0.2286,31.7,0.00509068,1e-07,
116.92,6300,5.3,0.2286,71.3,0.0051942,2.57578423693e-08,132.01267866611482
127.006,2500,2.0,0.2286,71.3,0.00293031,3.75529868799e-08,130.31792210316658
126.416,500,0.0,0.3048,55.5,0.00283081,-9.99999928647e-08,125.96649968324601
128.809,315,9.9,0.1524,31.7,0.0252785,1e-07,
122.394,3150,4.0,0.2286,55.5,0.0042862,-8.99295028678e-08,129.1263963046074
126.752,1600,2.0,0.2286,55.5,0.00313525,6.97875718145e-08,128.85431409221889
118.545,1600,9.9,0.1524,39.6,0.0233328,-1e-07,
120.061,5000,5.4,0.1524,71.3,0.00401199,-9.99979059094e-08,129.1233169541359
125.22,12500,0.0,0.0508,71.3,0.000740478,-1e-07,
115.215,6300,15.4,0.0508,71.3,0.0264269,-4.94917623246e-08,135.01852592468262
117.996,5000,17.4,0.0254,31.7,0.0176631,9.99999850606e-08,134.68660283899308
113.288,5000,7.2,0.1524,39.6,0.00909175,-1e-07,
126.805,400,15.4,0.0508,71.3,0.0264269,-5.29849958882e-09,126.57337595971302
109.619,12500,0.0,0.3048,39.6,0.00310138,1e-07,
133.587,3150,4.2,0.0508,39.6,0.00152689,1e-07,
132.54,2000,0.0,0.1016,55.5,0.00131983,1e-07,
116.723,5000,8.9,0.1016,71.3,0.0103088,-9.99999993565e-08,127.54127080249786
108.034,4000,12.6,0.1524,71.3,0.0483159,-1e-07,
121.485,1600,15.4,0.0508,31.7,0.0289853,-1e-07,
116.956,250,17.4,0.0254,31.7,0.0176631,-1e-07,
127.398,10000,4.8,0.0254,71.3,0.000848633,-2.86165573569e-08,133.03203868675232
127.039,500,4.0,0.2286,39.6,0.00473801,1.96987860998e-08,127.63328187087178
120.726,6300,9.5,0.0254,31.7,0.00461377,9.99997507965e-08,130.8614579925537
135.227,3150,0.0,0.0254,31.7,0.000439472,1e-07,
115.372,8000,1.5,0.3048,71.3,0.00336729,9.98454006235e-08,132.69123818588258
114.309,3150,7.3,0.2286,39.6,0.0123481,-1e-07,
119.975,200,15.4,0.0508,31.7,0.0289853,-1e-07,
116.22,4000,8.9,0.1016,39.6,0.0124596,-1e-07,
126.632,1600,1.5,0.3048,71.3,0.00336729,-9.98054455404e-08,128.62289942127467
108.407,4000,12.3,0.1016,31.7,0.0418756,-1e-07,
115.863,4000,4.0,0.3048,39.6,0.00579636,-9.36995034132e-08,127.15479859161377
122.679,1250,9.9,0.1524,71.3,0.0193001,-1e-07,
120.497,2500,5.4,0.1524,39.6,0.00485029,-1e-07,
125.941,200,11.2,0.0508,71.3,0.014072,-6.73599043899e-08,124.43358658359759
130.964,1250,9.5,0.0254,39.6,0.00449821,1e-07,
128.583,1000,0.0,0.1524,55.5,0.00172668,-9.99996384647e-08,128.22007653060555
122.754,315,15.6,0.1016,39.6,0.0528487,-1e-07,
112.803,16000,0.0,0.1524,55.5,0.00172668,9.32825058661e-08,115.19034149932861
128.401,3150,3.3,0.1016,39.6,0.00245138,9.99999473168e-08,131.85083685016633
133.38,1250,5.3,0.2286,71.3,0.0051942,1e-07,
131.279,500,9.9,0.1524,71.3,0.0193001,1e-07,
131.605,400,9.9,0.1524,55.5,0.0208438,1e-07,
131.448,630,6.7,0.1016,71.3,0.00478288,1e-07,
123.775,2500,4.0,0.3048,71.3,0.00497773,-9.99996400164e-08,129.7091935813427
126.54,2000,0.0,0.2286,55.5,0.00229336,-7.90163705448e-08,128.62782087266447
118.41,6300,0.0,0.2286,55.5,0.00229336,-9.99433424765e-08,126.71955874919891
119.294,315,9.5,0.0254,39.6,0.00449821,-9.99999999259e-08,119.47544885124638
116.967,10000,4.2,0.0508,39.6,0.00152689,-9.99999960583e-08,122.17457818222047
126.838,1000,3.0,0.3048,31.7,0.00529514,-9.99652086123e-08,129.31855112361907
128.545,200,12.3,0.1016,39.6,0.0408268,9.99999989126e-08,128.85065082433167
114.709,2500,7.3,0.2286,31.7,0.0132672,-1e-07,
119.91,12500,0.0,0.1016,55.5,0.00131983,-9.99999850515e-08,119.75909296035766
126.537,4000,12.7,0.0254,39.6,0.0130253,9.99999903332e-08,136.3582604522705
118.634,1250,19.7,0.0508,39.6,0.036484,-1e-07,
128.339,1250,4.0,0.2286,39.6,0.00473801,9.9999911967e-08,130.87085439109802
117.724,2000,19.7,0.0508,39.6,0.036484,-1e-07,
125.16,3150,0.0,0.2286,55.5,0.00229336,-8.0160412459e-08,129.18917638421058
125.194,1000,7.3,0.2286,55.5,0.0111706,-1e-07,127.2825901376605
120.136,250,9.5,0.0254,31.7,0.00461377,-1e-07,
132.134,1000,4.0,0.2286,55.5,0.0042862,1e-07,
131.015,1000,4.0,0.3048,71.3,0.00497773,1e-07,
132.271,1250,0.0,0.1016,39.6,0.00146332,1e-07,
131.111,2000,5.4,0.1524,71.3,0.00401199,1e-07,
115.52,4000,11.2,0.0508,39.6,0.0150478,-1e-07,124.89463074922561
125.107,5000,12.7,0.0254,39.6,0.0130253,1e-07,
134.227,10000,0.0,0.0254,31.7,0.000439472,9.99999970671e-08,128.55467295837403
127.117,1250,5.4,0.1524,39.6,0.00485029,-1.54016648641e-08,129.3054935460985
128.708,800,3.0,0.3048,31.7,0.00529514,1e-07,
133.48,800,5.3,0.2286,71.3,0.0051942,1e-07,
123.217,20000,0.0,0.0254,71.3,0.000400682,-9.99999982388e-08,102.53215884399415
128.086,800,0.0,0.3048,55.5,0.00283081,-9.99917742458e-08,128.41057700558008
136.886,630,17.4,0.0254,31.7,0.0176631,1e-07,
124.555,800,19.7,0.0508,71.3,0.0341183,-1e-07,
125.094,12500,4.8,0.0254,55.5,0.000873218,5.08740511063e-09,129.54305471801757
125.452,630,9.5,0.0254,55.5,0.0043284,-1e-07,
133.251,2000,0.0,0.1016,39.6,0.00146332,1e-07,
127.893,1000,15.4,0.0508,39.6,0.0282593,9.92912583017e-08,131.20155559557674
133.153,2000,0.0,0.1016,31.7,0.00150092,1e-07,
129.934,3150,9.5,0.0254,39.6,0.00449821,1e-07,
133.598,4000,4.2,0.0508,71.3,0.00142788,1e-07,
125.116,400,2.0,0.2286,71.3,0.00293031,-1e-07,
136.103,6300,0.0,0.0254,55.5,0.00041229,1e-07,
113.858,5000,3.0,0.3048,31.7,0.00529514,-9.90449099852e-08,126.66373707818984
128.723,1000,4.0,0.3048,39.6,0.00579636,1e-07,
125.683,16000,0.0,0.0254,55.5,0.00041229,-9.99999682937e-08,112.13191452789306
118.994,2500,7.3,0.2286,55.5,0.0111706,-1e-07,
121.318,2500,12.3,0.1016,71.3,0.0337792,-1e-07,
132.118,400,7.2,0.1524,39.6,0.00909175,1e-07,
127.461,2000,0.0,0.3048,71.3,0.00266337,9.99999171551e-08,129.90039608335496
120.654,4000,4.0,0.2286,55.5,0.0042862,2.99461119834e-08,129.36244960212707
124.346,1600,6.7,0.1016,31.7,0.00592927,-8.61127250229e-08,127.27870809948445
121.407,2500,2.0,0.2286,31.7,0.00372371,-1e-07,
120.527,4000,2.0,0.2286,31.7,0.00372371,2.39694400207e-08,127.76672856998444
121.635,1250,9.9,0.1524,55.5,0.0208438,-9.99999930083e-08,124.63014140561224
112.139,10000,0.0,0.3048,39.6,0.00310138,1e-07,
128.595,315,9.9,0.1524,39.6,0.0233328,9.99999941023e-08,129.14212651716545
126.743,1250,15.4,0.0508,39.6,0.0282593,1e-07,
120.981,2500,1.5,0.3048,39.6,0.00392107,-1e-07,
121.587,3150,5.4,0.1524,55.5,0.00433288,-1e-07,
126.661,500,1.5,0.3048,39.6,0.00392107,-9.97097047446e-08,127.2082004013136
127.815,500,9.9,0.1524,55.5,0.0208438,8.3311502288e-08,128.31580655142665
127.864,4000,9.5,0.0254,39.6,0.00449821,9.99984035365e-08,134.96588513994215
113.086,10000,2.0,0.2286,71.3,0.00293031,-4.71749265117e-08,128.95438173866273
121.889,4000,2.7,0.1524,39.6,0.00294804,-8.30493625847e-08,127.31606483602523
123.742,3150,2.0,0.2286,55.5,0.00313525,-9.98738112941e-08,129.1201519830227
129.68,1600,0.0,0.0508,71.3,0.000740478,-9.99996764147e-08,127.90745544463397
107.985,6300,12.3,0.1016,39.6,0.0408268,-2.69940125293e-08,126.03596971988678
119.649,2500,4.0,0.2286,39.6,0.00473801,-1e-07,
131.186,5000,9.5,0.0254,71.3,0.00420654,1e-07,
112.541,6300,5.3,0.2286,39.6,0.00614329,-2.16777674212e-08,127.55404841041565
124.881,4000,3.3,0.1016,39.6,0.00245138,9.99997659551e-08,129.2103635249138
133.956,2500,0.0,0.0508,55.5,0.00076193,9.99999965287e-08,133.42609386122228
125.539,800,9.9,0.1524,31.7,0.0252785,-9.99940592843e-08,127.8402637551874
140.158,500,12.3,0.1016,71.3,0.0337792,1e-07,
124.106,2500,0.0,0.3048,55.5,0.00283081,-9.99999696388e-08,128.55665155625343
130.089,250,7.3,0.2286,31.7,0.0132672,1e-07,
122.411,630,17.4,0.0254,55.5,0.0165706,-1e-07,
121.399,2500,0.0,0.3048,39.6,0.00310138,-9.99999403773e-08,126.33133926594257
117.284,4000,7.3,0.2286,55.5,0.0111706,-5.97648733326e-09,128.81759866142272
120.766,400,17.4,0.0254,31.7,0.0176631,-1e-07,
118.385,2500,19.7,0.0508,71.3,0.0341183,-1e-07,
122.439,2500,3.0,0.3048,55.5,0.00452492,-6.33389508713e-08,128.53128414297103
117.789,5000,0.0,0.3048,39.6,0.00310138,-9.58416742884e-08,127.59725221538544
133.252,3150,9.5,0.0254,55.5,0.0043284,1e-07,
120.227,4000,2.0,0.2286,39.6,0.00346574,3.36091529178e-08,127.46517658424378
110.894,2000,15.6,0.1016,39.6,0.0528487,-1e-07,
117.925,2000,9.9,0.1524,39.6,0.0233328,-1e-07,
120.657,630,22.2,0.0254,71.3,0.0214178,-1e-07,
127.076,1250,0.0,0.0508,55.5,0.00076193,-1e-07,
122.539,1000,7.3,0.2286,39.6,0.0123481,-1e-07,
119.708,20000,4.8,0.0254,71.3,0.000848633,2.56044813821e-10,118.25479870605469
134.996,4000,4.8,0.0254,39.6,0.000907475,1e-07,
121.659,2000,4.0,0.2286,39.6,0.00473801,-9.99999965699e-08,126.0422768946886
123.583,630,0.0,0.1524,55.5,0.00172668,-9.99999946488e-08,122.7167479101494
115.818,6300,7.3,0.2286,71.3,0.0104404,6.57819936578e-08,133.5816818885803
128.082,800,9.5,0.0254,55.5,0.0043284,-9.99795738254e-08,128.6883686236739
124.166,2500,17.4,0.0254,31.7,0.0176631,9.99999305416e-08,133.03254818058014
126.395,250,4.0,0.3048,71.3,0.00497773,-1e-07,
123.417,400,2.0,0.2286,31.7,0.00372371,-9.99999477701e-08,123.78676659530774
130.114,2000,2.7,0.1524,71.3,0.00243851,9.9999791914e-08,131.41095028066636
127.318,800,12.3,0.1016,71.3,0.0337792,-9.99991570083e-08,128.2036703508645
116.815,6300,0.0,0.2286,31.7,0.0027238,-7.20833401136e-08,124.85558980941772
123.879,400,4.0,0.2286,39.6,0.00473801,-1e-07,
130.715,500,4.0,0.3048,71.3,0.00497773,9.99999850084e-08,129.8600034705922
104.13,5000,12.6,0.1524,39.6,0.0584113,-9.9999512199e-08,121.29901403665542
123.312,315,3.0,0.3048,39.6,0.00495741,-1e-07,
130.349,630,4.0,0.2286,31.7,0.00509068,1e-07,
119.598,2500,3.0,0.3048,31.7,0.00529514,-1e-07,
124.756,400,9.5,0.0254,31.7,0.00461377,-1e-07,
119.135,5000,15.4,0.0508,71.3,0.0264269,7.65476612823e-08,134.98193437814712
116.181,4000,5.4,0.1524,31.7,0.00525474,-9.99997778794e-08,123.83164162015915
127.488,250,7.2,0.1524,39.6,0.00909175,9.99999912544e-08,127.56261002492346
124.625,3150,0.0,0.2286,39.6,0.00253511,7.38136318364e-08,129.0350928902626
123.41,4000,0.0,0.2286,55.5,0.00229336,-9.63702257093e-08,128.74390933275222
135.248,5000,4.8,0.0254,31.7,0.000930789,1e-07,
113.129,8000,4.0,0.2286,39.6,0.00473801,2.80022426938e-09,129.22226553344726
118.113,4000,15.4,0.0508,39.6,0.0282593,5.22353268938e-08,131.07715823698044
122.044,6300,0.0,0.2286,71.3,0.00214345,-9.97816836094e-08,130.1732859315872
110.307,3150,12.3,0.1016,31.7,0.0418756,-1e-07,
135.07,3150,0.0,0.0508,71.3,0.000740478,1e-07,
131.807,630,5.4,0.1524,55.5,0.00433288,1e-07,
123.988,12500,0.0,0.0508,39.6,0.000791822,-9.97872653586e-08,117.78262385177612
119.319,250,0.0,0.3048,39.6,0.00310138,-1e-07,
120.575,1600,19.7,0.0508,71.3,0.0341183,-1e-07,
128.306,1250,17.4,0.0254,31.7,0.0176631,1e-07,
122.966,500,8.4,0.0508,31.7,0.00580776,-1e-07,
119.54,315,0.0,0.2286,55.5,0.00229336,-1e-07,
123.061,4000,0.0,0.3048,71.3,0.00266337,-9.94184296835e-08,130.2496416077614
106.26,3150,12.6,0.1524,39.6,0.0584113,-1e-07,
125.857,250,12.3,0.1016,31.7,0.0418756,9.99899613552e-08,126.5455520713404
134.273,1000,7.2,0.1524,71.3,0.00752039,1e-07,
109.254,3150,15.6,0.1016,39.6,0.0528487,-1e-07,
129.964,630,4.0,0.2286,55.5,0.0042862,1e-07,
114.474,20000,0.0,0.2286,71.3,0.00214345,9.99999061115e-08,125.65595152282714
130.392,2500,3.3,0.1016,31.7,0.00251435,1e-07,
133.553,1600,0.0,0.1016,31.7,0.00150092,1e-07,
130.791,2500,3.3,0.1016,39.6,0.00245138,9.99999940355e-08,133.49359401202202
110.78,1600,12.6,0.1524,39.6,0.0584113,-9.99999948062e-08,116.44751764714718
130.307,800,2.0,0.2286,31.7,0.00372371,9.99999918471e-08,131.53811495748164
120.716,315,22.2,0.0254,39.6,0.0229028,-9.99999994526e-08,122.35935347386078
132.043,500,7.2,0.1524,71.3,0.00752039,1e-07,
130.46,1600,5.3,0.2286,71.3,0.0051942,1e-07,
135.953,800,6.7,0.1016,55.5,0.0052139,1e-07,
118.005,200,19.7,0.0508,71.3,0.0341183,-1e-07,
126.514,1600,3.0,0.3048,71.3,0.00425727,-9.9999939114e-08,129.08237891787292
114.418,10000,12.7,0.0254,71.3,0.0121808,4.23743006538e-09,136.34813858795167
125.555,800,15.4,0.0508,31.7,0.0289853,-9.99920237443e-08,128.32025222323836
133.42,200,8.9,0.1016,39.6,0.0124596,9.99999893385e-08,133.4228081415221
130.086,2500,9.5,0.0254,31.7,0.00461377,1e-07,
114.714,250,17.4,0.0254,39.6,0.0172206,-1e-07,
127.299,200,9.9,0.1524,31.7,0.0252785,9.99812883507e-08,127.70625354128516
129.869,1000,4.0,0.2286,31.7,0.00509068,1e-07,
122.435,1000,12.3,0.1016,39.6,0.0408268,-9.99998919201e-08,125.3925946033001
124.393,5000,0.0,0.1016,31.7,0.00150092,-4.28792891972e-08,126.17265515851973
129.116,12500,0.0,0.0254,39.6,0.000428464,-4.43064521914e-08,120.41849595642091
131.06,2000,0.0,0.0508,71.3,0.000740478,-2.62112622317e-08,129.51434620976448
121.93,10000,0.0,0.1016,55.5,0.00131983,-9.999997574e-08,123.36932938575745
123.227,800,22.2,0.0254,71.3,0.0214178,-1e-07,
128.252,3150,3.3,0.1016,31.7,0.00251435,1e-07,
120.015,400,8.4,0.0508,39.6,0.00566229,-1e-07,
129.691,315,5.3,0.2286,39.6,0.00614329,1e-07,
119.07,12500,0.0,0.0508,31.7,0.000812164,-6.79089109856e-09,112.2233875465393
128.401,800,0.0,0.1016,39.6,0.00146332,-9.99900783346e-08,128.19529316520692
125.809,630,2.7,0.1524,39.6,0.00294804,-1e-07,
135.308,4000,0.0,0.0508,39.6,0.000791822,9.99998751533e-08,135.3123635368347
126.677,500,2.0,0.2286,31.7,0.00372371,-9.90589694368e-08,127.26440100730211
130.567,1600,5.4,0.1524,55.5,0.00433288,9.99999999191e-08,132.97592173349858
128.492,800,2.0,0.2286,55.5,0.00313525,-9.99982004871e-08,128.75959318821134
122.779,315,0.0,0.3048,39.6,0.00310138,-1e-07,
112.16,1250,12.6,0.1524,39.6,0.0584113,-1e-07,
136.384,250,7.3,0.2286,55.5,0.0111706,1e-07,
125.724,1250,7.3,0.2286,55.5,0.0111706,-1e-07,
129.667,1600,0.0,0.1524,71.3,0.0015988,-5.36623393158e-08,129.17008653712273
113.004,3150,19.7,0.0508,39.6,0.036484,-1.5873782726e-08,126.30650495672225
114.042,6300,3.0,0.3048,39.6,0.00495741,9.97262325207e-08,129.85787982177735
127.947,1250,0.0,0.0254,31.7,0.000439472,-9.99981998291e-08,127.56951477688551
131.808,4000,12.7,0.0254,71.3,0.0121808,1e-07,
116.165,6300,4.0,0.3048,71.3,0.00497773,9.99999685305e-08,133.31088618278505
137.207,8000,0.0,0.0254,31.7,0.000439472,1e-07,
127.307,1000,0.0,0.1524,71.3,0.0015988,-1e-07,
129.006,630,9.5,0.0254,31.7,0.00461377,1e-07,
138.523,500,8.9,0.1016,71.3,0.0103088,1e-07,
126.021,5000,0.0,0.1016,39.6,0.00146332,8.89832932027e-08,127.86263039922714
